"Email","Art der Zuwendung","Eingangsdatum","Gesamtbetrag","Herkunft","Betragsstatus"
"ender@freigangknoll.ch","allgemeine Spende","2009-02-18","10000,00","Fakedaten_2013-04-30","Completed"
"ender@freigangknoll.ch","allgemeine Spende","2011-06-08","11000,00","Fakedaten_2013-04-30","Completed"
"ender@freigangknoll.ch","allgemeine Spende","2009-03-22","14000,00","Fakedaten_2013-04-30","Completed"
"mattern@ahrenberg.info","allgemeine Spende","2010-06-28","116,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2013-04-02","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2013-02-28","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2013-01-31","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2013-01-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-12-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-11-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-10-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-09-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-08-02","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-07-02","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-06-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-05-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-04-02","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-03-02","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-02-02","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2012-01-02","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-12-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-11-02","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-09-30","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-09-02","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-08-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-07-02","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-05-31","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-05-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-04-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-03-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-02-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2011-01-01","50,00","Fakedaten_2013-04-30","Completed"
"grube@faulhaber.net","Mitgliedsbeitrag","2010-11-30","50,00","Fakedaten_2013-04-30","Completed"
"reinberg@adelehner.ch","Anlassspende","2013-01-19","1900,00","Fakedaten_2013-04-30","Completed"
"dobler@koehler.com","allgemeine Spende","2012-06-14","184,00","Fakedaten_2013-04-30","Completed"
"dobler@koehler.com","allgemeine Spende","2010-03-27","68,00","Fakedaten_2013-04-30","Completed"
"dobler@koehler.com","allgemeine Spende","2008-10-22","42,00","Fakedaten_2013-04-30","Completed"
"dobler@koehler.com","allgemeine Spende","2010-11-18","18,00","Fakedaten_2013-04-30","Completed"
"jamrozy@kosenkow.info","allgemeine Spende","2012-07-27","170,00","Fakedaten_2013-04-30","Completed"
"jamrozy@kosenkow.info","allgemeine Spende","2008-08-04","78,00","Fakedaten_2013-04-30","Completed"
"jamrozy@kosenkow.info","allgemeine Spende","2012-10-30","172,00","Fakedaten_2013-04-30","Completed"
"jamrozy@kosenkow.info","allgemeine Spende","2010-07-12","108,00","Fakedaten_2013-04-30","Completed"
"jamrozy@kosenkow.info","allgemeine Spende","2011-04-16","22,00","Fakedaten_2013-04-30","Completed"
"jamrozy@kosenkow.info","allgemeine Spende","2008-11-25","86,00","Fakedaten_2013-04-30","Completed"
"jamrozy@kosenkow.info","allgemeine Spende","2012-11-11","84,00","Fakedaten_2013-04-30","Completed"
"nherr.sch@seibold.org","Anlassspende","2009-03-31","51900,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2011-02-03","6,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2008-09-25","166,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2010-04-29","138,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2009-08-02","156,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2009-08-24","154,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2011-04-14","14,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2011-05-17","168,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2009-11-04","124,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2012-08-15","108,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2010-04-20","178,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2013-03-14","64,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2009-08-08","14,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2009-08-14","196,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2010-01-07","132,00","Fakedaten_2013-04-30","Completed"
"daudrich@khn.org","allgemeine Spende","2011-01-31","146,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2011-02-17","54,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2011-03-14","72,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2012-05-15","162,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2012-05-24","182,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2010-10-16","2,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2011-05-11","170,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2008-10-25","196,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2009-05-19","116,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2013-02-05","20,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2008-07-22","6,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2010-03-31","22,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2009-07-14","142,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2010-04-24","188,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2011-12-26","200,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2009-08-04","134,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2008-11-08","132,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2012-02-13","58,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2008-08-12","172,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2013-02-07","112,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2010-04-01","130,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2009-03-10","6,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2013-01-24","15000,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2012-03-15","13000,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2012-04-09","12000,00","Fakedaten_2013-04-30","Completed"
"kresse@hingstfrantz.org","allgemeine Spende","2009-02-28","19000,00","Fakedaten_2013-04-30","Completed"
"ackermann@krebs.net","allgemeine Spende","2012-01-08","116,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2013-03-31","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2013-03-01","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2013-02-02","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2013-01-01","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-12-02","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-10-31","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-10-01","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-09-01","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-08-01","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-07-01","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-06-02","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-04-30","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-04-01","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-03-01","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","Mitgliedsbeitrag","2012-02-02","50,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","allgemeine Spende","2011-11-22","16,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","allgemeine Spende","2011-04-29","28,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","allgemeine Spende","2012-01-24","186,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","allgemeine Spende","2009-06-25","154,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","allgemeine Spende","2011-04-06","186,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","allgemeine Spende","2012-01-08","146,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","allgemeine Spende","2012-03-15","192,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","allgemeine Spende","2013-02-08","76,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","allgemeine Spende","2012-07-04","56,00","Fakedaten_2013-04-30","Completed"
"janich@riester.net","allgemeine Spende","2009-01-08","100,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2012-04-29","192,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2012-09-10","178,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2010-05-20","78,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2012-05-30","2,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2010-01-20","4,00","Fakedaten_2013-04-30","Completed"
