"Email","Mitglied seit","Ablaufdatum der Mitgliedschaft","Mitgliedstyp","Bezugsquelle"
"zwiener@timmermann.com","2008-07-01",,"Mitglied","Fakedaten_2013-02-06"
"sch.ckel@banse.de","2008-04-01",,"Mitglied","Fakedaten_2013-02-06"
"kesselschl_ger@leschhecht.info","2010-07-01",,"Mitglied","Fakedaten_2013-02-06"
"marahrens@hassfeld.ch","2009-12-01",,"Mitglied","Fakedaten_2013-02-06"
"buss@hallmann.info","2010-03-01",,"Mitglied","Fakedaten_2013-02-06"
"reppin@jungbluthwurm.name","2012-09-01",,"Mitglied","Fakedaten_2013-02-06"
"montag@kirch.com","2010-01-01",,"Mitglied","Fakedaten_2013-02-06"
"lippe@tuch.info","2012-01-01","2012-03-01","Mitglied","Fakedaten_2013-02-06"
"dienel@kleininger.name","2011-02-01",,"Mitglied","Fakedaten_2013-02-06"
"welsch@heuck.ch","2011-04-01",,"Mitglied","Fakedaten_2013-02-06"
"blum@siemon.ch","2008-10-01",,"Mitglied","Fakedaten_2013-02-06"
"bormann@zach.name","2009-03-01",,"Mitglied","Fakedaten_2013-02-06"
"roecker@hauglenzen.com","2012-09-01",,"Mitglied","Fakedaten_2013-02-06"
"schreck@mller.name","2013-02-01",,"Mitglied","Fakedaten_2013-02-06"
"m.cks@friessbode.com","2009-05-01",,"Mitglied","Fakedaten_2013-02-06"
"schmuhl@byrd.name","2012-07-01",,"Mitglied","Fakedaten_2013-02-06"
"arendt@kovacs.info","2008-05-01",,"Mitglied","Fakedaten_2013-02-06"
"muckenthaler@oschkenatstrege.de","2008-06-01",,"Mitglied","Fakedaten_2013-02-06"
"freimann@hessekkhler.com","2010-07-01","2011-05-01","Mitglied","Fakedaten_2013-02-06"
"knut@may.name","2012-11-01","2012-12-01","Mitglied","Fakedaten_2013-02-06"
"teufel@krauelkluwe.info","2012-07-01","2012-09-01","Mitglied","Fakedaten_2013-02-06"
"adam@marner.com","2009-04-01",,"Mitglied","Fakedaten_2013-02-06"
"riermeier@brettschneider.info","2012-10-01",,"Mitglied","Fakedaten_2013-02-06"
"kaul@kohrt.name","2009-04-01","2010-12-01","Mitglied","Fakedaten_2013-02-06"
"gilde@roleder.info","2008-10-01",,"Mitglied","Fakedaten_2013-02-06"
"frisch@mohrhard.info","2009-11-01",,"Mitglied","Fakedaten_2013-02-06"
