"Email","Name","Straße","PLZ","Ort","Land","Telefon","Fax","Website","Quelle","Ansprechpartner_Vorname","Ansprechpartner_Nachname","Ansprechpartner_Email","Ansprechpartner_Straße","Ansprechpartner_PLZ","Ansprechpartner_Ort","Ansprechpartner_Land","Ansprechpartner_Telefon(home)","Ansprechpartner_Berufsbezeichnung","Ansprechpartner_Quelle"
"info@morhelfer.name","Wieser KG","Gisbert-Cremer-Str. 916","27170","Bad Giulia","Deutschland","+49-960-3345509","(03489) 5664832","http://www.morhelfer.name","Fakedaten_2013-04-30","Jenna","Jess","jess@morhelfer.name","Erfurter Str. 3","27170","Bad Giulia","Deutschland","+49-332-4531272","Direct Quality Assistant","Fakedaten_2013-04-30"
"info@salzer.org","Knobel KG","Saalestr. 54b","75518","Neu Emilystadt","Deutschland","(01142) 8776020","+49-9844-82904564","http://www.salzer.org","Fakedaten_2013-04-30","Angelina","Cronjäger","cronj.ger@salzer.org","Heimstättenweg 284","75518","Neu Emilystadt","Deutschland","(04812) 1625035","Principal Program Analyst","Fakedaten_2013-04-30"
"info@mathieskesselring.ch","Bauschke AG","Heidehöhe 81a","81143","Süd Melekburg","Deutschland","(01992) 5654827","+49-7741-28840043","http://www.mathieskesselring.ch","Fakedaten_2013-04-30","Nisa","Pajonk","pajonk@mathieskesselring.ch","Rheinstr. 323","81143","Süd Melekburg","Deutschland","+49-4805-15948563","Internal Data Officer","Fakedaten_2013-04-30"
"info@landmann.net","May UG","Forellental 294","81290","Dehmelscheid","Deutschland","+49-997-7211121","+49-296-1239700","http://www.landmann.net","Fakedaten_2013-04-30","Burak","Ackermann","ackermann@landmann.net","Ankerweg 44a","81290","Dehmelscheid","Deutschland","+49-4439-45555973","Legacy Assurance Technician","Fakedaten_2013-04-30"
"info@welsch.org","Betz, Böttner und Kutscherauer","Dudweilerstr. 29c","78139","Neu Alisa","Deutschland","(0141) 035067254","+49-6130-80467202","http://www.welsch.org","Fakedaten_2013-04-30","Rebekka","Volk","volk@welsch.org","Emil-Fischer-Str. 871","78139","Neu Alisa","Deutschland","(01084) 6441413","National Marketing Liason","Fakedaten_2013-04-30"
"info@fleischer.info","Osenberg, Spöttel und Zender","Bensberger Str. 95b","58875","Petzoldburg","Deutschland","+49-1631-85631697","(03664) 7079914","http://www.fleischer.info","Fakedaten_2013-04-30","Marleen","Pajonk","pajonk@fleischer.info","Hermann-von-Helmholtz-Str. 5","58875","Petzoldburg","Deutschland","+49-617-9607659","Senior Communications Executive","Fakedaten_2013-04-30"
"info@kleiss.ch","Becker-Kirst","Ratherkämp 79b","12900","Ost Luca","Deutschland","+49-8872-02459940","(03332) 2076600","http://www.kleiss.ch","Fakedaten_2013-04-30","Tia","Scholz","scholz@kleiss.ch","Buchenweg 274","12900","Ost Luca","Deutschland","(0162) 297602276","Legacy Factors Specialist","Fakedaten_2013-04-30"
"info@schmidtchen.de","Büscher-Dreissigacker","Hitdorfer Kirchweg 310","67384","Neu Stevestadt","Deutschland","(0780) 246028130","+49-210-9413594","http://www.schmidtchen.de","Fakedaten_2013-04-30","Ian","Leibold","leibold@schmidtchen.de","Albert-Schweitzer-Str. 82","67384","Neu Stevestadt","Deutschland","(0291) 197407381","Central Applications Technician","Fakedaten_2013-04-30"
"info@isak.info","Spöttel AG","Reusrather Str. 30b","77596","Nord Maryamland","Deutschland","(0884) 188692166","+49-988-0992770","http://www.isak.info","Fakedaten_2013-04-30","Gian","Hiller","hiller@isak.info","Diepenthaler Str. 229","77596","Nord Maryamland","Deutschland","+49-9294-68774859","Product Operations Agent","Fakedaten_2013-04-30"
"info@beggerow.de","Radtke KG","Am Rosenhügel 539","47291","Kuschmanndorf","Deutschland","(03621) 9185653","(04645) 9437383","http://www.beggerow.de","Fakedaten_2013-04-30","Marlon","Montag","montag@beggerow.de","Josefstr. 49b","47291","Kuschmanndorf","Deutschland","+49-114-0311944","Central Configuration Administrator","Fakedaten_2013-04-30"
